TAU_SC_ERR,JNAME,DM,TAU_SC,DM_ERR
,J0957-06,26.95,,0.02
,J0957-5432,226.1,,0.3
,J0959-4809,92.7,,1.2
,J1000+08,21.0,,
,J1000-5149,72.8,,0.3
9e-07,J1001-5507,130.32,0.0001715,0.17
,J1001-5559,159.3,,0.9
,J1001-5939,113.0,,3.0
,J1002-5559,426.0,,4.0
,J1002-5919,347.0,,2.0
,J1003-4747,98.49,,0.08
,J1005+30,17.5,,1.5
,J1006-6311,195.99,,0.05
,J1010+15,42.0,,
9e-09,J1012+5307,9.022146,2.2e-08,
,J1012-2337,22.51,,0.09
,J1012-4235,71.6515,,0.0003
,J1012-5830,294.0,,4.0
,J1012-5857,383.9,0.00263,0.1
,J1013-5934,379.78,,0.17
,J1014-48,87.0,,7.0
,J1015-5719,278.1,,0.2
,J1016-5345,66.8,,1.8
,J1016-5819,252.16,,0.07
,J1016-5857,394.48,,0.09
,J1017+3011,27.15,,0.002
7e-06,J1017-5621,438.7,9.5e-05,0.5
,J1017-7156,94.21473,,0.0001
,J1018-1523,17.17,,0.02
,J1018-1642,48.82,,0.07
,J1019-5749,1040.0,,1.0
,J1020-5921,80.0,,3.0
,J1020-6026,446.0,,0.5
,J1021-5601,212.0,,8.0
1.3e-08,J1022+1001,10.255,3e-08,0.0008
,J1022-5813,714.0,,8.0
,J1023+0038,14.325,,0.01
,J1023-5746,,,
4.3e-09,J1024-0719,6.4864,1.3e-08,0.0002
,J1028-5819,96.525,,0.002
,J1031-6117,506.8,,1.2
,J1032-5206,139.0,,4.0
8e-06,J1032-5911,418.2,0.001272,0.17
,J1034-3224,50.75,,0.08
,J1035-6345,189.7,,0.9
,J1035-6720,84.166,,0.011
7e-06,J1036-4926,136.52,1.4e-05,0.01
,J1036-6559,158.36,,0.09
,J1036-8317,27.0927,,0.0002
,J1038+0032,26.34,,0.012
,J1038-5831,72.74,,0.03
,J1041-1942,33.777,,0.01
7e-06,J1042-5521,306.5,6.5e-05,0.4
,J1043-6116,448.91,,0.02
,J1044-5737,,,
,J1045-0436,4.833,,0.01
,J1045-4509,58.1106,,0.0006
,J1046+0304,24.98,,0.08
7e-06,J1046-5813,240.2,0.000138,0.5
,J1047-3032,52.54,,0.07
,J1047-6709,116.156,,0.002
,J1048+2339,16.6544,,0.0001
,J1048-5832,128.679,,0.004
,J1048-5838,70.7,,0.9
,J1049+5822,12.364,,0.011
,J1049-5833,446.8,,1.5
,J1050-5953,,,
,J1052-5954,491.9,,0.6
,J1052-6348,167.5,,1.4
,J1054-5943,330.7,,0.6
,J1054-5946,253.9,,0.6
,J1054-6452,234.0,,4.0
,J1055-6022,590.0,,5.0
8e-05,J1055-6028,636.5,0.00236,0.1
,J1055-6236,149.7,,1.5
,J1055-6905,142.8,,0.4
,J1056-5709,436.5,,1.8
7e-07,J1056-6258,320.62,0.0006499,0.03
,J1056-7117,92.904,,0.005
,J1057-4754,60.0,,8.0
,J1057-5226,29.69,,0.01
,J1057-5851,,,
,J1057-7914,51.0,,2.0
,J1058-5957,334.0,,1.1
,J1059+6459,19.3,,0.9
4e-08,J1059-5742,108.7,2.287e-05,0.3
,J1101-6101,,,
,J1101-6424,207.3633,,0.0005
,J1102+02,27.3,,
,J1103-5403,103.9114,,0.0003
,J1103-6025,275.9,,0.3
,J1104-6103,78.506,,0.015
,J1105-4353,45.0,,
,J1105-6037,,,
,J1105-6107,271.24,,0.01
,J1106-6438,203.0,,3.0
,J1107-5907,40.75,,0.02
,J1107-5947,158.4,,1.1
,J1107-6143,406.0,,3.0
,J1110+58,26.2,,0.2
,J1110-5637,262.56,,0.06
,J1111-6039,,,
0.003,J1112-6103,595.69,0.033,0.09
,J1112-6613,249.3,,1.0
,J1112-6926,148.4,,1.0
0.0001,J1114-6100,676.7,0.0283,0.1
,J1115+5030,9.18634,1.26e-08,0.00026
,J1115-0956,16.1,,0.2
,J1115-6052,226.92,,0.05
,J1116-2444,29.6,,0.2
1e-08,J1116-4122,40.53,4.85e-06,0.03
,J1117-6154,493.6,,0.9
,J1117-6447,303.0,,6.0
,J1119-6127,704.8,,0.2
,J1119-7936,27.4,,1.4
,J1120-24,9.81,,0.13
,J1120-3618,45.119,,0.002
1.4e-06,J1121-5444,204.7,6.28e-05,0.6
,J1122-3546,39.49,,0.008
1.4e-06,J1123-4844,92.915,8e-06,0.003
,J1123-6102,439.4,,0.4
,J1123-6259,223.26,,0.03
,J1123-6651,111.196,,0.005
,J1124-3653,44.9,,
,J1124-5638,289.5,,1.6
,J1124-5916,329.2,,0.1
,J1124-6421,298.0,,3.0
,J1125+7819,12.027127,,
,J1125-5825,124.8083,,0.0004
,J1125-6014,52.92972,,4e-05
,J1126-2737,26.86,,0.007
,J1126-38,46.0,,0.2
,J1126-6054,280.27,,0.03
,J1126-6942,55.33,,0.02
,J1128-6219,675.0,,9.0
,J1129-53,77.0,,2.5
,J1130-5826,261.1,,0.7
,J1130-5925,264.4,,1.6
,J1130-6807,148.734,,0.004
,J1132+25,24.19,,0.13
,J1132-4700,123.0,,
,J1132-5627,305.7,,0.8
,J1133-6250,567.8,0.0229,0.5
,J1135-49,114.0,,20.0
,J1135-6055,,,
1e-09,J1136+1551,4.84066,3e-09,0.00034
,J1136-5525,85.111,,0.009
,J1136-6527,164.1,,1.8
,J1137+7528,29.1702,,0.0001
,J1137-6700,228.041,,0.009
0.002,J1138-6207,518.86,0.026,0.05
,J1139-6247,,,
,J1141-3107,30.77,,0.03
,J1141-3322,46.448,,0.017
,J1141-6545,116.08,,0.001
,J1142+0119,19.197,,0.001
,J1142-6230,343.8,,1.7
,J1143-5158,159.03,,0.02
,J1143-5536,185.0,,0.1
,J1144-6146,78.7,,1.3
,J1144-6217,284.7,,0.6
,J1146-6030,111.68,,0.07
,J1147-66,133.8,,
,J1148-5725,174.0,,5.0
,J1148-6415,241.0,,6.0
,J1151-6108,217.8,,0.1
,J1152-5800,191.0,,7.0
,J1152-6012,74.0,,3.0
,J1153-2117,34.8,,0.1
,J1154-19,10.69,,0.005
,J1154-6250,74.0,,6.0
,J1156-1318,28.0,,0.0
,J1156-5707,243.2,,0.1
,J1156-5909,219.2,,0.1
,J1157-5112,39.724,,0.003
4e-07,J1157-6224,325.2,0.000763,0.5
,J1159-6409,178.0,,5.0
,J1159-7910,59.24,,0.02
,J1201-6306,683.0,,3.0
